,species_number,family
939,973,Daphniidae
940,974,
941,975,
942,977,Veneridae
943,978,Haloragaceae
944,979,Nostocaceae
945,980,Chlamydomonadaceae
946,981,Scenedesmaceae
947,983,Harpacticidae
948,984,Nymphaeaceae
949,985,Unionidae
950,986,Naviculaceae
951,987,Congridae
952,988,Buccinidae
953,989,Mytilidae
954,990,Pectinidae
955,991,Gadidae
956,992,Gadidae
957,993,Geodiidae
958,994,Penaeidae
959,995,Strongylocentrotidae
960,996,Balanidae
961,997,Cobitidae
962,998,Perlidae
963,999,Tipulidae
964,1000,Chlamydomonadaceae
965,1001,Pectinidae
966,1002,Cardiidae
967,1003,Trochidae
968,1004,Xanthidae
969,1005,Xanthidae
970,1006,Penaeidae
971,1008,Penaeidae
972,1009,Penaeidae
973,1010,Penaeidae
974,1011,Oxytrichidae
975,1012,Cyprididae
976,1013,Plecoglossidae
977,1014,Hippolytidae
978,1015,Cyprinidae
979,1016,Culicidae
980,1017,Chroococcaceae
981,1018,Phryganeidae
982,1019,Fragilariaceae
983,1020,Soleidae
984,1021,Cichlidae
985,1022,Ctenodrilidae
986,1023,Cambaridae
987,1024,Gammaridae
988,1025,Cyprinidae
989,1026,Squalidae
990,1027,Catostomidae
991,1028,Catostomidae
992,1029,Catostomidae
993,1030,Catostomidae
994,1031,Catostomidae
995,1032,Hiodontidae
996,1033,Ranidae
997,1034,Gadidae
998,1035,Soleidae
999,1036,Soleidae
1000,1037,Sparidae
1001,1038,Sparidae
1002,1039,Sparidae
1003,1040,Sparidae
1004,1041,Ellobiidae
1005,1042,Culicidae
1006,1043,Lymnaeidae
1007,1044,
1008,1045,Parameciidae
1009,1046,Bufonidae
1010,1047,Oocystaceae
1011,1048,Gadidae
1012,1049,Culicidae
1013,1050,Argulidae
1014,1051,Salmonidae
1015,1052,Hydropsychidae
1016,1053,Tisbidae
1017,1054,Tisbidae
1018,1055,Salamandridae
1019,1056,Culicidae
1020,1057,Planorbidae
1021,1058,Centrarchidae
1022,1059,Tubificidae
1023,1060,Gammaridae
1024,1061,Leptophlebiidae
1025,1062,Perlidae
1026,1063,Pleurochloridaceae
1027,1064,Oscillatoriaceae
1028,1065,Culicidae
1029,1066,Hydropsychidae
1030,1067,Hydropsychidae
1031,1068,Acartiidae
1032,1069,Cyclopidae
1033,1070,Idoteidae
1034,1071,Ranidae
1035,1072,Hynobiidae
1036,1073,Engraulidae
1037,1074,Cyprinidae
1038,1075,Ranidae
1039,1076,Cyprinodontidae
1040,1077,Culicidae
1041,1078,Poaceae
1042,1079,Culicidae
1043,1080,Achnanthaceae
1044,1081,Achnanthaceae
1045,1082,Naviculaceae
1046,1083,Anaulaceae
1047,1084,Bacillariaceae
1048,1086,Ophiuridae
1049,1087,Haloragaceae
1050,1088,Potamogetonaceae
1051,1089,Characeae
1052,1090,Salamandridae
1053,1091,Bufonidae
1054,1092,Hylidae
1055,1093,Pomacentridae
1056,1094,Pleuronectidae
1057,1095,Hirudinidae
1058,1096,Fucaceae
1059,1097,Fucaceae
1060,1098,Limnephilidae
1061,1099,Laminariaceae
1062,1100,Fucaceae
1063,1101,Chordaceae
1064,1102,Gigartinaceae
1065,1103,Gigartinaceae
1066,1104,Rhodymeniaceae
1067,1105,Ulvaceae
1068,1106,Ulvaceae
1069,1107,Ulvaceae
1070,1108,Linhomoeidae
1071,1109,Veneridae
1072,1110,Haliotididae
1073,1111,Pectinidae
1074,1112,Muricidae
1075,1114,Cyprinidae
1076,1115,Percidae
1077,1116,Lepisosteidae
1078,1117,Oncholaimidae
1079,1118,
1080,1119,
1081,1120,
1082,1121,
1083,1122,Blenniidae
1084,1123,Ceratopogonidae
1085,1124,Stratiomyidae
1086,1125,
1087,1126,
1088,1127,
1089,1128,Culicidae
1090,1129,
1091,1130,suborder Anisoptera
1092,1131,Lymnaeidae
1093,1132,Cyprinidae
1094,1133,Cyprinidae
1095,1134,Temoridae
1096,1135,
1097,1136,Poeciliidae
1098,1137,Tubificidae
1099,1138,
1100,1139,Sciaenidae
1101,1140,Centrarchidae
1102,1141,Cyprinidae
1103,1142,Eubranchidae
1104,1143,Pandalidae
1105,1144,Percidae
1106,1145,Polycentropodidae
1107,1146,Bufonidae
1108,1147,Salamandridae
1109,1149,Notonectidae
1110,1150,Hylidae
1111,1152,Characeae
1112,1154,Oxytrichidae
1113,1155,Culicidae
1114,1156,Bangiaceae
1115,1157,
1116,1158,Cyclopidae
1117,1159,Catenulidae
1118,1160,Naviculaceae
1119,1161,
1120,1164,Cyclopidae
1121,1165,Parameciidae
1122,1166,Naididae
1123,1167,Sargassaceae
1124,1168,Aeshnidae
1125,1169,Empididae
1126,1170,Elmidae
1127,1171,Hydropsychidae
1128,1172,Perlodidae
1129,1173,Simuliidae
1130,1174,Simuliidae
1131,1175,Capniidae
1132,1176,Ochromonadaceae
1133,1177,Ceratiaceae
1134,1178,Chironomidae
1135,1179,Unionidae
1136,1180,Glenodiniaceae
1137,1181,Oocystaceae
1138,1182,Chironomidae
1139,1183,Chironomidae
1140,1184,Chironomidae
1141,1185,Acipenseridae
1142,1186,Tubificidae
1143,1188,Parameciidae
1144,1189,Gobiidae
1145,1190,Scenedesmaceae
1146,1191,Veneridae
1147,1192,Donacidae
1148,1193,Unionidae
1149,1194,Bufonidae
1150,1195,Catostomidae
1151,1196,Sciaenidae
1152,1197,Mysidae
1153,1198,Haemulidae
1154,1199,Sciaenidae
1155,1201,Poaceae
1156,1202,Sparidae
1157,1203,Culicidae
1158,1204,Culicidae
1159,1205,Brachionidae
1160,1206,Hydrocharitaceae
1161,1207,Bosminidae
1162,1208,Chromadoridae
1163,1209,Unionidae
1164,1210,Catostomidae
1165,1211,Cyprinodontidae
1166,1212,Cyprinidae
1167,1213,Cyprinodontidae
1168,1214,Mactridae
1169,1216,Ephemerellidae
1170,1217,Leptophlebiidae
1171,1218,Baetidae
1172,1219,Cyatholaimidae
